Spine term name,Spine term definition,Spine term class/type,Spine term range,Spine term origin,Mapping predicate label,Mapping predicate definition,Mapped term name,Mapped term definition,Mapped term class/type,Mapped term range,Mapped term origin,Comments,Transformation notes
scheme version,Identification of the version of the identifier scheme.,elm:LegalIdentifier,"",ELM Micro-Credential,Identical,The definition is identical in wording and intent.,scheme version,Identification of the version of the identifier scheme.,elm:LegalIdentifier,"",ELM Micro-Credential,Alignment for a synthetic property added to the spine. Synthetic uri: https://desm.credentialengine.org/resources/terms/scheme+version-synthetic,
Employee,Person employed for wages or salary by the organization.,"",ceterms:CredentialPerson,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Recognized By,"Agent that acknowledges the validity of the credential, learning opportunity of assessment.","","ceterms:CredentialOrganization, ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Recognized In,"Region or political jurisdiction such as a state, province or locale in which the credential, learning resource, or assessment has been publicly recommended, acknowledged or endorsed.","",ceterms:JurisdictionProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Recognizes,"Resource that the agent recommends, endorses, indicates preference for, or otherwise provides a positive judgment.","","ceasn:CompetencyFramework, ceterms:ApprenticeshipCertificate, ceterms:AssessmentProfile, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Course, ceterms:Credential, ceterms:CredentialOrganization, ceterms:CredentialPerson, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:LearningOpportunityProfile, ceterms:LearningProgram, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:Organization, ceterms:ProfessionalDoctorate, ceterms:QACredentialOrganization, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree, ceterms:TransferValueProfile",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Regulated By,"Quality assurance organization that enforces the legal requirements of the credential, learning resource or assessment.","","ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),Transformed,"A simple data transform will yield a value for the spine term; for example, concatenating values from several properties being mapped. Describe the transform in a comment on the alignment.",accreditation,The associated accreditation.,elm:Organisation,"",ELM - Micro-Credential,"Accreditation is a Class that has ""accrediting agent"" property, defined as ""The Quality Assuring Authority (i.e., assurer)"", which is a similar term. Note, that in ELM both an Organisation and a Qualification can have Accreditation. ",
Regulated In,"Region or political jurisdiction such as a state, province or locale in which the credential, learning opportunity or resource is regulated.","",ceterms:JurisdictionProfile,Credential Transparency Description Language (1.0),Transformed,"A simple data transform will yield a value for the spine term; for example, concatenating values from several properties being mapped. Describe the transform in a comment on the alignment.",accreditation,The associated accreditation.,elm:Organisation,"",ELM - Micro-Credential,"Accreditation is a Class that has ""accredited in jurisdiction"" property, defined as ""The jurisdiction for which the accreditation is valid"", which is a similar term. Note, that in ELM both an Organisation and a Qualification can have Accreditation. ",
Renews,Credential type that has its validity extended by the organization or person.,"","ceterms:ApprenticeshipCertificate, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Credential, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:ProfessionalDoctorate, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Review Process,"Entity that describes the process by which the credential, or aspects of it, are reviewed.","",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Revocation Process,Entity describing the process by which the credential is revoked.,"",ceterms:ProcessProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Revokes,Credential type that can be invalidated or retracted by the awarding agent.,"","ceterms:ApprenticeshipCertificate, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Credential, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:ProfessionalDoctorate, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Same As,Another source of information about the entity being described.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Subject Webpage,Webpage that describes this entity.,"",xsd:anyURI,Credential Transparency Description Language (1.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,homepage,"A homepage for some thing.
A homepage for some thing",elm:Organisation,"",ELM - Micro-Credential,,
Superseded By,Resource that replaces this resource.,"","ceterms:ApprenticeshipCertificate, ceterms:AssessmentProfile, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Course, ceterms:Credential, ceterms:CredentialOrganization, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:LearningOpportunityProfile, ceterms:LearningProgram, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:Organization, ceterms:ProfessionalDoctorate, ceterms:QACredentialOrganization, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree, ceterms:TransferValueProfile",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Supersedes,Resource that this resource replaces.,"","ceterms:ApprenticeshipCertificate, ceterms:AssessmentProfile, ceterms:AssociateDegree, ceterms:AssociateOfAppliedArtsDegree, ceterms:AssociateOfAppliedScienceDegree, ceterms:AssociateOfArtsDegree, ceterms:AssociateOfScienceDegree, ceterms:BachelorDegree, ceterms:BachelorOfArtsDegree, ceterms:BachelorOfScienceDegree, ceterms:Badge, ceterms:Certificate, ceterms:CertificateOfCompletion, ceterms:Certification, ceterms:Course, ceterms:Credential, ceterms:CredentialOrganization, ceterms:Degree, ceterms:DigitalBadge, ceterms:Diploma, ceterms:DoctoralDegree, ceterms:GeneralEducationDevelopment, ceterms:JourneymanCertificate, ceterms:LearningOpportunityProfile, ceterms:LearningProgram, ceterms:License, ceterms:MasterCertificate, ceterms:MasterDegree, ceterms:MasterOfArtsDegree, ceterms:MasterOfScienceDegree, ceterms:MicroCredential, ceterms:OpenBadge, ceterms:Organization, ceterms:ProfessionalDoctorate, ceterms:QACredentialOrganization, ceterms:QualityAssuranceCredential, ceterms:ResearchDoctorate, ceterms:SecondarySchoolDiploma, ceterms:SpecialistDegree, ceterms:TransferValueProfile",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Support Service Statement,Webpage or online document that defines or explains the nature of support services offered by the organization.,"",schema:WebPage,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Support Service Statement Description,Description of the nature of support services offered by the organization.,"",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Target Description,Textual description of an individual concept or competency in a formally defined framework.,"",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Target Node,"Individual entry in a formally defined framework such as a competency or an industry, instructional program, or occupation code.","",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Target Node Name,Name of an individual concept or competency in a formally defined framework.,"",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Transfer Value Statement,Webpage or online document that defines or explains the nature of transfer value handled by the organization.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Transfer Value Statement Description,Description of the nature of transfer value handled by the organization.,"",rdf:langString,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Weight,"Measurement of the weight, degree, percent, or strength of a recommendation, requirement, or comparison.","",xsd:float,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
honorificPrefix,"Honorific prefix(es) preceding a person's name (e.g. 'Dr', 'Mrs' or 'Mr').","",schema:honorificPrefix,Open Badges 3.0 (3.0),,,,,,,,
honorificSuffix,"Honorific suffix(es) following a person's name (e.g. 'M.D, PhD').","",schema:honorificSuffix,Open Badges 3.0 (3.0),,,,,,,,
patronymicName,Patronymic name.,"","",Open Badges 3.0 (3.0),,,,,,,,
endorsement,"A claim made about this entity. Note: As endorsements must be published after the publication of the entity they endorse, it will not always be possible to establish a two-way linkage with this property.","",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
telephone,"A phone number for the entity. For maximum compatibility, the value should be expressed as a + and country code followed by the number with no spaces or other punctuation, like +16175551212 (E.164 format).","",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
publicKey,The key(s) an issuer uses to sign Assertions.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
type,"Valid JSON-LD representation of the Issuer or Profile type. In most cases, this will simply be the string Issuer or the more general Profile. An array including Issuer and other string elements that are either URLs or compact IRIs within the current context are allowed.","",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
version,The version identifier for the present edition of the entity.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
revocationList,HTTP URI of the Badge Revocation List used for marking revocation of signed badges.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
related,Identifies a related version of the entity.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
verification,Instructions for how to verify Assertions published by this Profile.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
endorsementJwt,"In Achievement:Allows endorsers to make specific claims about the Achievement. These endorsements are signed with the VC-JWT proof format.
In AchievementCredential:Allows endorsers to make specific claims about the credential, and the achievement and profiles in the credential. These endorsements are signed with the VC-JWT proof format.
In Profile:Allows endorsers to make specific claims about the individual or organization represented by this profile. These endorsements are signed with the VC-JWT proof format.","","",Open Badges 3.0 (3.0),,,,,,,,
dateOfBirth,Birthdate of the person.,"","",Open Badges 3.0 (3.0),,,,,,,,
familyName,"Family name. In the western world, often referred to as the 'last name' of a person.","",schema:familyName,Open Badges 3.0 (3.0),,,,,,,,
familyNamePrefix,"Family name prefix. As used in some locales, this is the leading part of a family name (e.g. 'de' in the name 'de Boer').","","",Open Badges 3.0 (3.0),,,,,,,,
givenName,"Given name. In the western world, often referred to as the 'first name' of a person.","",schema:givenName,Open Badges 3.0 (3.0),,,,,,,,
